v,0,11
v,1,3
v,2,11
v,3,4
v,4,4
v,5,12
v,6,4
v,7,21
v,8,3
v,9,4
v,10,17
v,11,13
v,12,16
v,13,6
v,14,4
v,15,4
v,16,21
v,17,7
v,18,4
v,19,12
v,20,4
v,21,8
v,22,5
v,23,5
v,24,4
v,25,7
v,26,4
v,27,10
v,28,3
v,30,23
v,31,17
v,32,3
v,-1,0
v,-2,0
v,-3,0
v,-4,0
v,-5,0
v,-6,0
e,0,1
e,0,4
e,1,3
e,2,-3
e,3,2
e,3,4
e,4,5
e,4,6
e,5,8
e,6,7
e,6,8
e,7,8
e,8,13
e,9,10
e,9,11
e,10,12
e,11,12
e,12,13
e,13,9
e,13,14
e,14,15
e,14,16
e,15,17
e,16,17
e,17,18
e,18,-2
e,19,24
e,20,21
e,20,22
e,21,23
e,22,23
e,23,24
e,24,20
e,24,25
e,25,26
e,26,-4
e,27,-1
e,28,-6
e,30,3
e,31,-1
e,32,28
