v,0,5
v,1,4
v,2,5
v,3,6
v,4,3
v,5,8
v,6,6
v,7,6
v,8,4
v,9,10
v,10,4
v,11,6
v,12,3
v,13,17
v,14,17
v,15,5
v,16,21
v,17,21
v,18,5
v,19,4
v,20,13
v,21,4
v,22,6
v,23,3
v,24,5
v,25,3
v,26,8
v,27,20
v,28,4
v,29,9
v,30,8
v,31,4
v,32,2
v,33,2
v,34,12
v,35,3
v,36,6
v,37,7
v,38,5
v,39,2
v,40,7
v,41,5
v,42,28
v,43,25
v,44,6
v,45,6
v,46,3
v,47,13
v,48,3
v,49,3
v,50,4
v,51,28
v,52,3
v,53,2
v,54,4
v,55,5
v,56,4
v,57,6
v,58,3
v,60,0
v,61,0
v,62,0
v,63,0
v,64,18
v,65,18
v,66,7
v,67,0
v,68,6
v,69,0
v,70,0
v,71,7
v,-1,0
v,-2,0
v,-3,0
v,-4,0
v,-5,0
v,-6,0
v,-7,0
v,-8,0
v,-9,0
v,-10,0
v,-11,0
v,-12,0
v,-13,0
v,-14,0
v,-15,0
v,-16,0
e,0,1
e,0,2
e,1,3
e,2,3
e,3,4
e,4,-2
e,5,6
e,5,10
e,6,-11
e,7,-11
e,8,7
e,8,9
e,9,-7
e,9,-15
e,10,11
e,11,12
e,12,-4
e,13,15
e,14,15
e,15,14
e,15,16
e,16,18
e,17,18
e,18,17
e,18,19
e,19,21
e,20,21
e,21,20
e,21,22
e,22,23
e,23,-6
e,24,25
e,25,-8
e,26,-15
e,27,-13
e,27,-3
e,28,27
e,28,29
e,29,31
e,30,-5
e,31,30
e,31,32
e,32,33
e,33,-10
e,34,35
e,35,-12
e,36,38
e,37,38
e,38,37
e,38,39
e,39,41
e,40,41
e,41,40
e,41,42
e,42,44
e,43,44
e,44,-1
e,45,46
e,46,-14
e,47,48
e,47,49
e,48,57
e,49,56
e,50,51
e,50,54
e,51,-1
e,52,-1
e,53,-1
e,54,55
e,55,56
e,56,50
e,56,57
e,57,58
e,58,-16
e,60,52
e,60,53
e,61,53
e,62,55
e,63,43
e,63,45
e,64,8
e,65,8
e,66,11
e,68,28
e,69,28
e,71,31
